,lat,lng
0,59.9534182,30.2039129
3,59.9400309,30.20358970000001
4,59.94004769999999,30.2032883
5,59.9830947,30.20155509999999
6,59.98074249999999,30.20022449999999
7,59.98153929999999,30.2007579
8,59.98256000000001,30.2024718
9,59.9828807,30.20147960000001
11,59.9831592,30.19758389999999
12,59.94566,30.207471
14,59.94574089999999,30.20708979999999
15,59.94569420000001,30.2072579
19,59.94594799999999,30.20844
20,59.94627699999999,30.206957
21,59.9455883,30.2072699
26,59.93848879999999,30.20577189999999
27,59.94086399999999,30.2096321
29,59.94038630000001,30.20697310000001
30,59.9408418,30.2095333
32,59.940969,30.20943999999999
34,59.94088009999999,30.2096551
50,59.93730979999999,30.2046723
51,59.9385382,30.2055161
52,59.94170329999999,30.2057891
53,59.94102150000001,30.20879780000001
55,59.942139,30.207647
56,59.938237,30.2085357
64,59.9427,30.20872099999999
66,59.9431892,30.2075582
67,59.943311,30.2075389
69,59.94397,30.207048
75,59.944926,30.207112
77,59.9440859,30.2091313
79,59.9424278,30.2084321
84,59.9420685,30.2083407
88,59.9448659,30.2059686
92,59.942149,30.207962
93,59.9426883,30.2088192
95,59.94508189999999,30.208655
96,59.945102,30.20863499999999
97,59.94211559999999,30.208775
98,59.94785299999999,30.19667399999999
99,59.948153,30.1966361
100,59.97969010000001,30.207255
104,59.945878,30.2095811
105,59.947902,30.210678
112,59.9482683,30.2143332
120,59.9573691,30.2129869
121,59.9576959,30.2139742
122,59.956371,30.211718
123,59.9785908,30.2130604
125,59.960049,30.2147329
126,59.9662738,30.2165001
127,59.97999480000001,30.2071627
128,59.980988,30.20858499999999
129,59.981044,30.20865009999999
130,59.980516,30.2094579
131,59.981018,30.208808
132,59.981126,30.208898
133,59.98118530000001,30.208936
135,59.981381,30.209041
136,59.980769,30.209043
137,59.9809956,30.20912779999999
138,59.9817303,30.2090562
140,59.9818222,30.2091985
141,59.98165900000001,30.20938799999999
142,59.98135600000001,30.2095609
143,59.98183599999999,30.20942
144,59.98174299999999,30.209515
145,59.98150800000001,30.2097519
146,59.9812214,30.2098294
147,59.98167559999999,30.2097359
148,59.981977,30.20967989999999
149,59.981908,30.2096419
155,59.9816666,30.2098014
156,59.981561,30.2098681
157,59.98100900000001,30.209915
158,59.9817014,30.2098596
159,59.98166699999999,30.209897
160,59.9816125,30.2099294
161,59.9815598,30.2099581
162,59.98215379999999,30.2059905
163,59.9821614,30.20604809999999
164,59.9799763,30.20672289999999
165,59.9800508,30.2069002
169,59.981099,30.2086799
171,59.98080890000001,30.2091499
174,59.9814249,30.2092507
175,59.981797,30.209128
176,59.9817541,30.2091603
177,59.9813321,30.2093014
178,59.9816813,30.2093955
179,59.981252,30.209543
180,59.9812152,30.2096557
181,59.98161649999999,30.20960219999999
182,59.98191749999998,30.209545
183,59.9816332,30.2096906
184,59.9817542,30.20982279999999
185,59.981708,30.2098941
188,59.94369500000001,30.21268199999999
189,59.9426367,30.210126
194,59.942531,30.210562
197,59.943054,30.20999800000001
198,59.94305,30.21017039999999
204,59.9426819,30.2105352
208,59.9422824,30.2097851
210,59.94357300000001,30.212627
212,59.94179029999999,30.2097631
217,59.9420897,30.2119757
221,59.9418169,30.2114801
222,59.9418064,30.2114551
223,59.94446809999999,30.2139426
224,59.943337,30.2107959
233,59.9424374,30.2106258
235,59.94321060000001,30.2123677
238,59.94307019999999,30.21273210000001
239,59.943431,30.213169
243,59.94497599999999,30.212764
244,59.941577,30.2092011
245,59.9429563,30.2133522
248,59.9418209,30.2115723
249,59.9444295,30.213983
250,59.9435799,30.2142726
252,59.97565119999999,30.2156382
253,59.952856,30.211372
254,59.95224100000001,30.21144699999999
255,59.9521689,30.212379
256,59.952767,30.2111529
257,59.95269519999999,30.2112217
258,59.95225499999999,30.2108551
259,59.9522414,30.2109975
260,59.952685,30.2111661
262,59.9521707,30.2121127
272,59.9529706,30.2118247
273,59.95309589999999,30.2115531
274,59.9529837,30.2119582
275,59.95191759999999,30.2139417
276,59.9518328,30.2139152
277,59.9531612,30.2121613
278,59.95181599999999,30.2140779
279,59.95295199999999,30.2127479
280,59.95265699999999,30.213575
281,59.9535756,30.21151959999999
282,59.95178699999999,30.214494
283,59.951883,30.2144181
288,59.952685,30.211166
290,59.952279,30.212163
291,59.95206100000001,30.21275299999999
294,59.9530031,30.21192349999999
296,59.95288269999999,30.21252859999999
297,59.9518375,30.21378109999999
298,59.95243079999999,30.2134217
299,59.9518865,30.2138812
301,59.9523188,30.2135781
302,59.95220490000001,30.2138447
303,59.95282519999999,30.21309189999999
305,59.952584,30.2135161
306,59.95367,30.2107979
307,59.9537039,30.2111362
308,59.953614,30.21162099999999
309,59.9536501,30.2114924
310,59.976269,30.2174539
312,59.9766633,30.2174397
314,59.94578360000001,30.2153408
316,59.9458333,30.2155182
318,59.9458333,30.2155181
319,59.94644779999999,30.2157934
322,59.94830529999999,30.2168507
323,59.94875479999999,30.2161122
324,59.94584,30.215706
327,59.94650559999999,30.2177111
328,59.9457435,30.2172405
329,59.9450711,30.2157471
332,59.94506239999999,30.21573589999999
333,59.9497968,30.2164069
334,59.9452811,30.2168091
336,59.948381,30.2144112
337,59.9484181,30.2143362
338,59.94652600000001,30.21498
